Invoice Date,Event,Event Date,Event Time,Section,Row,Ticket Qty,Sold Price
1/23/2024 1:50:40 AM -05:00,Golden State Warriors vs. Memphis Grizzlies,3/20/24 0:00,19:00:00,15,A4,2,1325.12
1/21/2024 6:41:37 PM -05:00,NFC Championship Game: San Francisco 49ers vs. Detroit Lions,1/28/24 0:00,15:30:00,C115,23,2,3487.48
1/21/2024 6:54:28 PM -05:00,NFC Championship Game: San Francisco 49ers vs. Detroit Lions,1/28/24 0:00,15:30:00,C219,16,2,1284.28
1/21/2024 1:32:24 AM -05:00,NFC Championship Game: San Francisco 49ers vs. TBD,1/28/24 0:00,15:30:00,314,6,2,1376.08
2/19/2024 2:34:16 PM -05:00,Golden State Warriors vs. San Antonio Spurs,3/9/24 0:00,17:30:00,VIP,AA,2,6241.48
2/11/2024 11:47:16 PM -05:00,Golden State Warriors vs. San Antonio Spurs,3/9/24 0:00,17:30:00,3,A4,2,1835.08
2/28/2024 6:30:40 PM -05:00,Golden State Warriors vs. San Antonio Spurs,3/9/24 0:00,17:30:00,4,A4,2,1678.72
2/11/2024 11:48:58 PM -05:00,Golden State Warriors vs. San Antonio Spurs,3/9/24 0:00,17:30:00,15,A4,2,1376.08
3/4/2024 12:19:54 PM -05:00,Golden State Warriors vs. San Antonio Spurs,3/9/24 0:00,17:30:00,116,15,2,641.68
3/4/2024 10:24:20 PM -05:00,Golden State Warriors vs. San Antonio Spurs,3/9/24 0:00,17:30:00,113,19,2,393.82
1/19/2024 2:51:13 PM -05:00,Boston Celtics vs. Denver Nuggets,1/19/24 0:00,19:30:00,326,13,2,109.62
1/23/2024 7:29:08 PM -05:00,Boston Celtics vs. Los Angeles Clippers,1/27/24 0:00,19:00:00,326,13,2,136.78
1/20/2024 9:50:59 AM -05:00,Boston Celtics vs. Washington Wizards,2/9/24 0:00,19:30:00,141,H,2,366.28
1/21/2024 3:31:20 PM -05:00,Boston Celtics vs. Atlanta Hawks,2/7/24 0:00,19:30:00,141,H,2,265.3
1/27/2024 1:03:54 PM -05:00,Boston Celtics vs. Brooklyn Nets,2/14/24 0:00,19:30:00,141,H,2,292.84
1/23/2024 7:03:15 PM -05:00,Boston Celtics vs. Philadelphia 76ers,2/27/24 0:00,19:30:00,141,H,2,458.08
3/1/2024 12:40:40 PM -05:00,Boston Celtics vs. Phoenix Suns,3/14/24 0:00,19:30:00,141,H,2,441.12
2/29/2024 12:47:00 PM -05:00,Boston Celtics vs. Detroit Pistons,3/18/24 0:00,19:30:00,141,H,2,267.7
1/19/2024 10:16:52 PM -05:00,Boston Celtics vs. Milwaukee Bucks,3/20/24 0:00,19:30:00,141,H,2,513.16
1/19/2024 2:49:00 PM -05:00,Boston Celtics vs. Denver Nuggets,1/19/24 0:00,19:30:00,326,13,2,117.8
1/19/2024 3:54:57 PM -05:00,Boston Celtics vs. Los Angeles Clippers,1/27/24 0:00,19:00:00,326,13,2,169
1/26/2024 7:50:59 PM -05:00,AFC Championship Game: Baltimore Ravens vs. Kansas City Chiefs,1/28/24 0:00,15:00:00,140,31,2,949.05
1/21/2024 10:19:21 PM -05:00,AFC Championship Game: Baltimore Ravens vs. Kansas City Chiefs,1/28/24 0:00,15:00:00,100,26,2,1467.88
1/21/2024 6:47:57 PM -05:00,NFC Championship Game: San Francisco 49ers vs. Detroit Lions,1/28/24 0:00,15:30:00,C135,30,2,1495.42
1/22/2024 12:50:53 AM -05:00,NFC Championship Game: San Francisco 49ers vs. Detroit Lions,1/28/24 0:00,15:30:00,C140,32,2,2202.28
3/7/2024 10:36:36 PM -05:00,Golden State Warriors vs. New York Knicks,3/18/24 0:00,19:00:00,VIP,AA,2,5415.28
2/19/2024 3:25:39 PM -05:00,Golden State Warriors vs. New York Knicks,3/18/24 0:00,19:00:00,2,A4,2,1263.24
2/1/2024 12:06:22 AM -05:00,Golden State Warriors vs. New York Knicks,3/18/24 0:00,19:00:00,115,15,2,412.18
2/26/2024 11:26:13 PM -05:00,Golden State Warriors vs. New York Knicks,3/18/24 0:00,19:00:00,116,14,2,414.09
2/17/2024 5:43:00 PM -05:00,Golden State Warriors vs. New York Knicks,3/18/24 0:00,19:00:00,22,A4,2,816.05
2/29/2024 1:01:14 AM -05:00,Golden State Warriors vs. New York Knicks,3/18/24 0:00,19:00:00,103,14,2,460.2
3/2/2024 7:26:10 PM -05:00,Golden State Warriors vs. Indiana Pacers,3/22/24 0:00,19:00:00,103,16,2,412.18
2/23/2024 5:33:31 PM -05:00,Golden State Warriors vs. Indiana Pacers,3/22/24 0:00,19:00:00,104,14,2,412.18
3/17/2024 1:21:39 AM -04:00,Golden State Warriors vs. Indiana Pacers,3/22/24 0:00,19:00:00,22,A3,2,871.18
1/29/2024 8:24:59 PM -05:00,Golden State Warriors vs. Charlotte Hornets,2/23/24 0:00,19:00:00,22,A4,2,597.55
