Invoice Date,Event,Event Date,Event Time,Section,Row,Ticket Qty,Sold Price
9/22/2023 8:51:59 AM -04:00,Las Vegas Raiders vs. Green Bay Packers,10/9/23 0:00,17:15:00,118,29,2,495.38
9/22/2023 3:53:40 AM -04:00,Las Vegas Raiders vs. Green Bay Packers,10/9/23 0:00,17:15:00,313,10,2,505
9/23/2023 2:59:19 PM -04:00,Las Vegas Raiders vs. Green Bay Packers,10/9/23 0:00,17:15:00,339,12,2,526.81
9/21/2023 4:04:59 PM -04:00,Las Vegas Raiders vs. Green Bay Packers,10/9/23 0:00,17:15:00,143,32,2,475.52
9/22/2023 12:44:03 PM -04:00,Las Vegas Raiders vs. Green Bay Packers,10/9/23 0:00,17:15:00,119,31,2,489
10/20/2023 3:55:41 PM -04:00,Las Vegas Raiders vs. New York Giants,11/5/23 0:00,13:25:00,123,30,2,390.02
10/2/2023 6:41:22 PM -04:00,Las Vegas Raiders vs. New York Giants,11/5/23 0:00,13:25:00,102,32,2,368
10/5/2023 5:49:41 PM -04:00,Las Vegas Raiders vs. New York Giants,11/5/23 0:00,13:25:00,106,35,2,375
9/22/2023 9:29:28 PM -04:00,Las Vegas Raiders vs. New York Giants,11/5/23 0:00,13:25:00,312,15,2,495.77
9/24/2023 8:27:00 PM -04:00,Las Vegas Raiders vs. New York Giants,11/5/23 0:00,13:25:00,309,12,2,326.61
9/24/2023 8:26:26 PM -04:00,Las Vegas Raiders vs. New York Giants,11/5/23 0:00,13:25:00,C136,31,2,682.07
10/6/2023 11:46:13 PM -04:00,Las Vegas Raiders vs. New York Giants,11/5/23 0:00,13:25:00,117,29,1,507.32
9/29/2023 5:20:59 PM -04:00,Las Vegas Raiders vs. Kansas City Chiefs,11/26/23 0:00,13:25:00,117,32,2,495.38
9/26/2023 10:30:40 AM -04:00,Las Vegas Raiders vs. Kansas City Chiefs,11/26/23 0:00,13:25:00,123,30,2,463.34
10/11/2023 12:11:13 AM -04:00,Las Vegas Raiders vs. Kansas City Chiefs,11/26/23 0:00,13:25:00,107,31,2,526.87
